id,endereco_livre,uf,cidade,timestamp
253,"AVENIDA DO COMERCIO, 3072, SAO JOSE, Recife",PE,Recife,2025-11-26 09:50:34
254,"PRAÇA PRESIDENTE VARGAS, 1197, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-25 10:51:34
255,"ESTRADA DOS ANDRADAS, 3843, CENTRO",RS,Porto Alegre,2025-11-07 19:52:34
256,"RUA RIO BRANCO, 2097, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-31 16:14:34
257,"VIELA W3 SUL, 911, sala 10, ASA SUL, Brasília",DF,Brasília,2025-11-19 11:42:34
258,"TRAVESSA OSWALDO CRUZ, 3440, ao lado da escola, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-12 18:42:34
259,"entregar na rua borges de medeiros, 4222 perto da praça, centro",RS,Porto Alegre,2025-11-04 16:31:34
260,"RUA AMAZONAS, 2891, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-08 07:38:34
261,"entregar na praça rio branco, 555 ao lado da escola, centro",RJ,Rio de Janeiro,2025-11-10 04:14:34
262,"VIELA das flores, 3852",RJ,Rio de Janeiro,2025-11-15 12:02:34
263,"praça das flores, 554, jardim",RJ,Rio de Janeiro,2025-11-18 21:07:34
264,"Praça presidente vargas, 1093",RJ,Rio de Janeiro,2025-11-09 09:57:34
265,"LARGO QUINZE DE NOVEMBRO, 3921, perto da praça, CENTRO, São Paulo",SP,São Paulo,2025-11-01 16:45:34
266,"RUA TUPIS, 2404, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-25 13:53:34
267,"entregar na praça atlantica, 2541 em frente ao banco, copacabana",RJ,Rio de Janeiro,2025-10-31 03:19:34
268,"rua nove de julho, 1566, republica",SP,São Paulo,2025-11-15 18:54:34
269,"ALAMEDA BOAVISTA, 1020, sala 20, BOA VIAGEM, Recife",PE,Recife,2025-11-13 08:02:34
270,"VIELA BAHIA, 2778, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-10 22:18:34
271,"ALAMEDA CONDE DA BOA VISTA, 677, em frente ao banco, DERBY, Recife",PE,Recife,2025-11-24 07:11:34
272,"Al. quinze de novembro, 2632",SP,São Paulo,2025-11-15 23:31:34
273,"LARGO MARQUES DE ITU, 4937, em frente ao banco, VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-20 22:21:34
274,"LARGO DA AURORA, 347, próximo ao mercado, BOA VISTA, Recife",PE,Recife,2025-11-07 07:32:34
275,"avenida oswaldo cruz, 3328, botafogo",RJ,Rio de Janeiro,2025-11-09 21:06:34
276,"RUA PAULISTA, 1170, bloco B, BELA VISTA, São Paulo",SP,São Paulo,2025-11-05 06:47:34
277,"AVENIDA URUGUAIANA, 1934, sala 20, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-15 08:13:34
278,"estrada atlantica, 3686, copacabana",RJ,Rio de Janeiro,2025-11-15 06:01:34
279,"estrada copacabana, 4338, copacabana",RJ,Rio de Janeiro,2025-11-14 10:08:34
280,"Tv vinte e tres de maio, 930",SP,São Paulo,2025-11-11 04:25:34
281,"AVENIDA EIXO MONUMENTAL, 2145, sala 10, ASA NORTE, Brasília",DF,Brasília,2025-11-04 06:36:34
282,"LARGO sao joao, 1640",SP,São Paulo,2025-10-30 18:21:34
283,"LARGO QUINZE DE NOVEMBRO, 720, sala 20, CENTRO, São Paulo",SP,São Paulo,2025-11-05 09:04:34
284,"ALAMEDA COPACABANA, 2458, apto 201, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-03 21:50:34
285,"PRAÇA QUINZE DE NOVEMBRO, 4168, CENTRO, São Paulo",SP,São Paulo,2025-11-23 13:59:34
286,"Travessa uruguaiana, 4048",RJ,Rio de Janeiro,2025-11-09 02:26:34
287,"Estrada tupis, 707",MG,Belo Horizonte,2025-11-13 22:03:34
288,"VIELA DOS ANDRADAS, 3355, bloco B, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-24 16:29:34
289,"LARGO COPACABANA, 3817, ao lado da escola, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-15 15:53:34
290,"ESTRADA EIXO MONUMENTAL, 1058, ASA NORTE",DF,Brasília,2025-11-10 18:56:34
291,"ESTRADA PRIMEIRO DE MARÇO, 2492, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-21 09:50:34
292,"praça brigadeiro faria lima, 4251, itam bibi",SP,São Paulo,2025-10-30 18:33:34
293,"ALAMEDA REBOUCAS, 1026, próximo ao mercado, PINHEIROS, São Paulo",SP,São Paulo,2025-11-07 03:44:34
294,"entregar na estrada protasio alves, 4849 perto da praça, petropolis",RS,Porto Alegre,2025-11-20 23:10:34
295,"R. boavista, 233",PE,Recife,2025-10-27 00:00:34
296,"TRAVESSA NOVE DE JULHO, 4687, REPUBLICA",SP,São Paulo,2025-11-07 00:48:34
297,"ALAMEDA BORGES DE MEDEIROS, 2475, CENTRO",RS,Porto Alegre,2025-11-18 23:24:34
298,"LARGO MARQUES DE ITU, 598, , VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-21 06:23:34
299,"largo dos andradas, 1672, centro",RS,Porto Alegre,2025-11-07 16:29:34
300,"PRAÇA BOA VIAGEM, 3267, BOA VIAGEM, Recife",PE,Recife,2025-11-02 09:17:34
301,"AVENIDA EIXO MONUMENTAL, 2615, ASA NORTE, Brasília",DF,Brasília,2025-11-12 17:32:34
302,"Tv. bahia, 1155",MG,Belo Horizonte,2025-11-17 07:54:34
303,"TRAVESSA AFONSO PENA, 1309, sala 20, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-28 02:03:34
304,"TRAVESSA BOA VIAGEM, 1306, BOA VIAGEM",PE,Recife,2025-11-10 06:18:34
305,"LARGO marques de itu, 190",SP,São Paulo,2025-11-10 06:34:34
306,"Praça consolacao, 399",SP,São Paulo,2025-11-11 00:53:34
307,"Al. dos andradas, 4397",RS,Porto Alegre,2025-11-13 15:53:34
308,"praça nove de julho, 3304, republica",SP,São Paulo,2025-11-25 08:46:34
309,"entregar na travessa eixo monumental, 2970 próximo ao mercado, asa norte",DF,Brasília,2025-11-24 08:17:34
310,"ALAMEDA BAHIA, 974, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-23 08:26:34
311,"PRAÇA BOAVISTA, 1182, BOA VIAGEM, Recife",PE,Recife,2025-11-07 04:24:34
312,"R protasio alves, 372",RS,Porto Alegre,2025-11-04 09:58:34
313,"entregar na largo dos andradas, 1221 ao lado da escola, centro",RS,Porto Alegre,2025-11-22 09:50:34
314,"entregar na estrada boa viagem, 3220 perto do metrô, boa viagem",PE,Recife,2025-10-31 11:12:34
315,"largo boavista, 4612, boa viagem",PE,Recife,2025-11-11 20:26:34
316,"entregar na avenida boavista, 3413 próximo ao mercado, boa viagem",PE,Recife,2025-10-31 20:54:34
317,"LARGO DAS FLORES, 2176, ao lado da escola, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-08 13:03:34
318,"entregar na largo oswaldo cruz, 1397 perto do metrô, botafogo",RJ,Rio de Janeiro,2025-11-03 01:00:34
319,"Est. do comercio, 1985",PE,Recife,2025-11-20 20:21:34
320,"VIELA BOA VIAGEM, 1241, BOA VIAGEM",PE,Recife,2025-11-04 14:23:34
321,"LARGO PROTASIO ALVES, 511, perto da praça, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-10 14:14:34
322,"LARGO BOA VIAGEM, 4305, BOA VIAGEM",PE,Recife,2025-11-16 15:20:34
323,"praça w3 norte, 4476, asa norte",DF,Brasília,2025-11-04 21:06:34
324,"LARGO NOVE DE JULHO, 1576, REPUBLICA, São Paulo",SP,São Paulo,2025-11-18 03:30:34
325,"ALAMEDA BRIGADEIRO FARIA LIMA, 2368, perto da praça, ITAM BIBI, São Paulo",SP,São Paulo,2025-11-03 22:18:34
326,"entregar na largo boa viagem, 2858 perto do metrô, boa viagem",PE,Recife,2025-11-18 11:42:34
327,"VIELA W3 NORTE, 3233, sala 20, ASA NORTE, Brasília",DF,Brasília,2025-10-27 16:31:34
328,"alameda atlantica, 648, copacabana",RJ,Rio de Janeiro,2025-10-28 06:08:34
329,"LARGO NOVE DE JULHO, 1753, REPUBLICA, São Paulo",SP,São Paulo,2025-10-31 03:32:34
330,"Al eixo monumental, 1125",DF,Brasília,2025-11-19 19:07:34
331,"Tv. w3 sul, 1908",DF,Brasília,2025-11-13 10:04:34
332,"AVENIDA dos andradas, 1127",RS,Porto Alegre,2025-10-28 15:23:34
333,"LARGO DOS ANDRADAS, 1634, sala 10, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-16 11:08:34
334,"AVENIDA OSWALDO CRUZ, 4704, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-08 21:03:34
335,"ESTRADA ATLANTICA, 3424, apto 201, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-28 18:56:34
336,"LARGO AGAMENON MAGALHAES, 1527, próximo ao mercado, DERBY, Recife",PE,Recife,2025-10-29 19:49:34
337,"avenida marques de itu, 2745, vila buarque",SP,São Paulo,2025-11-12 00:15:34
338,"LARGO W3 SUL, 1100, bloco A, ASA SUL, Brasília",DF,Brasília,2025-11-12 12:37:34
339,"PRAÇA PRIMEIRO DE MARÇO, 1332, em frente ao banco, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-06 12:04:34
340,"RUA QUINZE DE NOVEMBRO, 2762, sala 10, CENTRO, São Paulo",SP,São Paulo,2025-11-07 23:01:34
341,"ESTRADA REBOUCAS, 3322, loja 1, PINHEIROS, São Paulo",SP,São Paulo,2025-11-10 10:44:34
342,"AVENIDA AGAMENON MAGALHAES, 1514, DERBY, Recife",PE,Recife,2025-11-11 09:50:34
343,"RUA IPIRANGA, 2137, REPUBLICA",SP,São Paulo,2025-11-19 06:01:34
344,"entregar na praça vinte e tres de maio, 2474 perto do metrô, liberdade",SP,São Paulo,2025-11-08 20:33:34
345,"TRAVESSA CONDE DA BOA VISTA, 509, , DERBY, Recife",PE,Recife,2025-11-12 11:39:34
346,"ALAMEDA AGAMENON MAGALHAES, 962, próximo ao mercado, DERBY, Recife",PE,Recife,2025-11-15 01:35:34
347,"ESTRADA BRIGADEIRO FARIA LIMA, 3918, ITAM BIBI, São Paulo",SP,São Paulo,2025-11-11 21:11:34
348,"VIELA CONDE DA BOA VISTA, 4500, DERBY",PE,Recife,2025-11-02 02:58:34
349,"TRAVESSA CONSOLACAO, 4881, apto 101, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-10 06:16:34
350,"Av. conde da boa vista, 4622",PE,Recife,2025-10-31 02:52:34
351,"entregar na travessa protasio alves, 4692 perto da praça, petropolis",RS,Porto Alegre,2025-11-21 09:55:34
352,"LARGO W3 SUL, 953, perto da praça, ASA SUL, Brasília",DF,Brasília,2025-11-04 02:18:34
353,"LARGO RIO BRANCO, 456, CENTRO",RJ,Rio de Janeiro,2025-11-22 04:23:34
354,"RUA TUPIS, 4578, CENTRO",MG,Belo Horizonte,2025-11-05 11:03:34
355,"VIELA DAS FLORES, 2085, , JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-03 14:12:34
356,"rua copacabana, 3471, copacabana",RJ,Rio de Janeiro,2025-11-04 18:15:34
357,"Avenida oswaldo cruz, 3868",RJ,Rio de Janeiro,2025-11-13 15:00:34
358,"VIELA URUGUAIANA, 3068, CENTRO",RJ,Rio de Janeiro,2025-11-12 08:25:34
359,"Est rio branco, 2849",RJ,Rio de Janeiro,2025-11-09 08:16:34
360,"TRAVESSA URUGUAIANA, 29, , CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-17 06:06:34
361,"VIELA W3 NORTE, 4358, ASA NORTE",DF,Brasília,2025-10-31 13:34:34
362,"praça tupis, 1271, centro",MG,Belo Horizonte,2025-11-19 21:01:34
363,"entregar na rua primeiro de março, 3435 , centro",RJ,Rio de Janeiro,2025-11-19 14:45:34
364,"entregar na rua presidente vargas, 3658 perto do metrô, centro",RJ,Rio de Janeiro,2025-11-04 19:34:34
365,"VIELA ATLANTICA, 3596, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-09 14:01:34
366,"estrada oswaldo cruz, 4128, botafogo",RJ,Rio de Janeiro,2025-11-18 21:13:34
367,"praça boa viagem, 1941, boa viagem",PE,Recife,2025-10-29 16:07:34
368,"travessa w3 sul, 3388, asa sul",DF,Brasília,2025-11-18 19:14:34
369,"VIELA QUINZE DE NOVEMBRO, 4554, CENTRO",SP,São Paulo,2025-11-25 09:08:34
370,"PRAÇA DO COMERCIO, 3411, SAO JOSE",PE,Recife,2025-11-22 11:25:34
371,"LARGO QUINZE DE NOVEMBRO, 1975, apto 301, CENTRO, São Paulo",SP,São Paulo,2025-11-16 22:40:34
372,"RUA TUPIS, 4608, CENTRO",MG,Belo Horizonte,2025-10-27 07:14:34
373,"ESTRADA W3 SUL, 3182, ASA SUL, Brasília",DF,Brasília,2025-11-18 14:28:34
374,"LARGO rio branco, 3040",RJ,Rio de Janeiro,2025-11-25 12:25:34
375,"AVENIDA ATLANTICA, 1542, bloco B, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-02 23:14:34
376,"LARGO CONSOLACAO, 1712, sala 20, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-17 20:36:34
377,"AVENIDA REBOUCAS, 3924, PINHEIROS, São Paulo",SP,São Paulo,2025-11-04 01:04:34
378,"entregar na viela consolacao, 1961 próximo ao mercado, consolacao",SP,São Paulo,2025-11-02 11:25:34
379,"praça tupis, 2527, centro",MG,Belo Horizonte,2025-11-15 03:53:34
380,"LARGO BORGES DE MEDEIROS, 808, loja 2, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-02 09:51:34
381,"PRAÇA CONSOLACAO, 2564, CONSOLACAO",SP,São Paulo,2025-11-25 01:54:34
382,"estrada brigadeiro faria lima, 133, itam bibi",SP,São Paulo,2025-11-09 02:12:34
383,"ALAMEDA AFONSO PENA, 1249, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-16 13:25:34
384,"LARGO IPIRANGA, 4511, perto do metrô, REPUBLICA, São Paulo",SP,São Paulo,2025-11-16 12:01:34
385,"LARGO BORGES DE MEDEIROS, 3776, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-03 09:39:34
386,"entregar na largo uruguaiana, 1508 perto do metrô, centro",RJ,Rio de Janeiro,2025-10-27 19:16:34
387,"AVENIDA ATLANTICA, 398, , COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-13 15:56:34
388,"Av brigadeiro faria lima, 1238",SP,São Paulo,2025-11-10 06:26:34
389,"LARGO oswaldo cruz, 3997",RJ,Rio de Janeiro,2025-11-09 03:23:34
390,"RUA DO OUVIDOR, 4337, próximo ao mercado, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-09 11:48:34
391,"VIELA protasio alves, 1469",RS,Porto Alegre,2025-11-10 16:34:34
392,"alameda reboucas, 2904, pinheiros",SP,São Paulo,2025-11-01 08:44:34
393,"entregar na viela conde da boa vista, 3761 perto da praça, derby",PE,Recife,2025-11-04 13:30:34
394,"RUA RIO BRANCO, 766, CENTRO",RJ,Rio de Janeiro,2025-11-14 08:14:34
395,"RUA DOS ANDRADAS, 78, perto da praça, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-24 04:55:34
396,"PRAÇA AMAZONAS, 4636, apto 101, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-29 03:51:34
397,"TRAVESSA ATLANTICA, 1732, bloco B, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-11 12:47:34
398,"entregar na alameda copacabana, 4449 perto do metrô, copacabana",RJ,Rio de Janeiro,2025-11-25 14:50:34
399,"entregar na rua boa viagem, 1698 perto da praça, boa viagem",PE,Recife,2025-11-01 21:57:34
400,"AVENIDA AGAMENON MAGALHAES, 2452, DERBY, Recife",PE,Recife,2025-11-08 13:13:34
401,"PRAÇA DO COMERCIO, 3145, apto 201, SAO JOSE, Recife",PE,Recife,2025-10-31 22:03:34
402,"praça rio branco, 440",RJ,Rio de Janeiro,2025-11-19 18:28:34
403,"PRAÇA AGAMENON MAGALHAES, 243, próximo ao mercado, DERBY, Recife",PE,Recife,2025-11-01 06:18:34
404,"PRAÇA BRIGADEIRO FARIA LIMA, 4531, ITAM BIBI",SP,São Paulo,2025-11-13 15:06:34
405,"AVENIDA DO COMERCIO, 2420, apto 301, SAO JOSE, Recife",PE,Recife,2025-11-04 18:44:34
406,"ESTRADA VINTE E TRES DE MAIO, 3113, perto do metrô, LIBERDADE, São Paulo",SP,São Paulo,2025-11-21 21:25:34
407,"Pç. boa viagem, 873",PE,Recife,2025-10-27 11:21:34
408,"ALAMEDA CONDE DA BOA VISTA, 838, DERBY, Recife",PE,Recife,2025-11-24 15:22:34
409,"VIELA bahia, 847",MG,Belo Horizonte,2025-11-15 03:44:34
410,"viela boa viagem, 102, boa viagem",PE,Recife,2025-11-13 08:00:34
411,"entregar na travessa rio branco, 4686 perto da praça, centro",RJ,Rio de Janeiro,2025-11-05 08:39:34
412,"alameda uruguaiana, 2467, centro",RJ,Rio de Janeiro,2025-11-11 16:45:34
413,"VIELA PAULISTA, 2261, BELA VISTA",SP,São Paulo,2025-11-17 04:59:34
414,"PRAÇA COPACABANA, 2062, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-03 00:18:34
415,"LARGO REBOUCAS, 877, PINHEIROS, São Paulo",SP,São Paulo,2025-11-17 20:24:34
416,"VIELA BOAVISTA, 2700, BOA VIAGEM",PE,Recife,2025-11-16 06:57:34
417,"entregar na alameda uruguaiana, 2627 perto do metrô, centro",RJ,Rio de Janeiro,2025-11-20 05:29:34
418,"viela quinze de novembro, 2615, centro",SP,São Paulo,2025-11-02 22:09:34
419,"TRAVESSA BORGES DE MEDEIROS, 2670, CENTRO",RS,Porto Alegre,2025-11-18 08:26:34
420,"entregar na travessa primeiro de março, 4852 perto da praça, centro",RJ,Rio de Janeiro,2025-11-05 03:48:34
421,"TRAVESSA TUPIS, 3592, sala 10, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-30 22:45:34
422,"LARGO AFONSO PENA, 1141, próximo ao mercado, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-19 12:07:34
423,"VIELA setembro, 3089",RJ,Rio de Janeiro,2025-11-07 05:12:34
424,"VIELA agamenon magalhaes, 4454",PE,Recife,2025-11-04 03:11:34
425,"AVENIDA RIO BRANCO, 2034, perto do metrô, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-15 15:08:34
426,"VIELA ATLANTICA, 2717, loja 1, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-23 20:43:34
427,"TRAVESSA NOVE DE JULHO, 4184, ao lado da escola, REPUBLICA, São Paulo",SP,São Paulo,2025-11-09 02:05:34
428,"LARGO BRIGADEIRO FARIA LIMA, 3065, ITAM BIBI",SP,São Paulo,2025-11-11 23:12:34
429,"estrada protasio alves, 2826",RS,Porto Alegre,2025-11-23 11:23:34
430,"avenida rio branco, 1161, centro",RJ,Rio de Janeiro,2025-11-17 10:20:34
431,"LARGO CONSOLACAO, 2854, CONSOLACAO",SP,São Paulo,2025-11-23 06:03:34
432,"praça bahia, 551, centro",MG,Belo Horizonte,2025-11-24 22:42:34
433,"PRAÇA DAS FLORES, 896, perto da praça, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-10-27 21:34:34
434,"ESTRADA W3 SUL, 4522, ASA SUL, Brasília",DF,Brasília,2025-11-16 03:22:34
435,"TRAVESSA TUPIS, 3319, perto da praça, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-21 00:07:34
436,"VIELA AMAZONAS, 240, ao lado da escola, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-29 14:21:34
437,"VIELA AMAZONAS, 37, perto da praça, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-20 12:01:34
438,"AVENIDA COPACABANA, 4399, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-15 10:37:34
439,"AVENIDA TUPIS, 2150, em frente ao banco, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-10 00:29:34
440,"VIELA do comercio, 4809",PE,Recife,2025-11-15 06:10:34
441,"Al quinze de novembro, 4835",SP,São Paulo,2025-11-16 17:34:34
442,"avenida marques de itu, 1500, vila buarque",SP,São Paulo,2025-11-04 16:17:34
443,"VIELA DO COMERCIO, 4886, SAO JOSE, Recife",PE,Recife,2025-11-08 08:22:34
444,"LARGO QUINZE DE NOVEMBRO, 4403, perto do metrô, CENTRO, São Paulo",SP,São Paulo,2025-10-28 15:14:34
445,"LARGO PAULISTA, 2367, BELA VISTA, São Paulo",SP,São Paulo,2025-11-21 09:56:34
446,"rua bahia, 2942",MG,Belo Horizonte,2025-11-22 13:57:34
447,"LARGO DO COMERCIO, 3352, em frente ao banco, SAO JOSE, Recife",PE,Recife,2025-11-12 21:56:34
448,"LARGO bahia, 1371",MG,Belo Horizonte,2025-11-01 13:31:34
449,"entregar na alameda atlantica, 1842 próximo ao mercado, copacabana",RJ,Rio de Janeiro,2025-11-21 06:13:34
450,"Avenida borges de medeiros, 4692",RS,Porto Alegre,2025-11-02 02:57:34
451,"entregar na rua conde da boa vista, 3616 perto da praça, derby",PE,Recife,2025-11-13 17:02:34
452,"ALAMEDA IPIRANGA, 265, REPUBLICA",SP,São Paulo,2025-11-18 08:54:34
453,"LARGO RIO BRANCO, 962, apto 301, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-19 21:12:34
454,"entregar na viela da aurora, 1360 perto da praça, boa vista",PE,Recife,2025-11-01 13:57:34
455,"rua consolacao, 4671, consolacao",SP,São Paulo,2025-11-09 12:11:34
456,"ESTRADA W3 NORTE, 2652, próximo ao mercado, ASA NORTE, Brasília",DF,Brasília,2025-11-17 02:32:34
457,"AVENIDA PROTASIO ALVES, 1111, loja 1, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-10-28 19:32:34
458,"ESTRADA URUGUAIANA, 2046, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-04 09:56:34
459,"VIELA IPIRANGA, 4010, REPUBLICA, São Paulo",SP,São Paulo,2025-11-08 00:32:34
460,"VIELA afonso pena, 3703",MG,Belo Horizonte,2025-11-14 04:02:34
461,"PRAÇA VINTE E TRES DE MAIO, 3725, LIBERDADE",SP,São Paulo,2025-11-16 02:49:34
462,"LARGO RIO BRANCO, 2935, apto 101, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 03:24:34
463,"VIELA CONSOLACAO, 1736, CONSOLACAO",SP,São Paulo,2025-11-18 09:56:34
464,"entregar na praça sao joao, 4484 perto da praça, republica",SP,São Paulo,2025-11-08 04:59:34
465,"rua boavista, 377",PE,Recife,2025-11-26 16:50:34
466,"LARGO paulista, 3740",SP,São Paulo,2025-11-19 21:51:34
467,"ALAMEDA URUGUAIANA, 1303, sala 10, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-24 00:26:34
468,"AVENIDA NOVE DE JULHO, 3047, perto do metrô, REPUBLICA, São Paulo",SP,São Paulo,2025-11-21 19:24:34
469,"TRAVESSA MARQUES DE ITU, 3517, , VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-04 17:49:34
470,"LARGO CONSOLACAO, 639, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-08 13:16:34
471,"RUA BAHIA, 67, próximo ao mercado, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-31 16:54:34
472,"Est amazonas, 3914",MG,Belo Horizonte,2025-11-14 18:03:34
473,"avenida presidente vargas, 2567, centro",RJ,Rio de Janeiro,2025-10-29 11:41:34
474,"Est. do comercio, 1171",PE,Recife,2025-11-07 00:39:34
475,"PRAÇA BAHIA, 1746, perto do metrô, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-22 07:10:34
476,"Tv bahia, 711",MG,Belo Horizonte,2025-11-02 17:12:34
477,"praça do comercio, 3518, sao jose",PE,Recife,2025-11-01 16:34:34
478,"entregar na avenida vinte e tres de maio, 2033 ao lado da escola, liberdade",SP,São Paulo,2025-11-06 21:11:34
479,"RUA SAO JOAO, 2472, REPUBLICA, São Paulo",SP,São Paulo,2025-11-10 01:17:34
480,"VIELA REBOUCAS, 2422, , PINHEIROS, São Paulo",SP,São Paulo,2025-11-01 13:18:34
481,"AVENIDA DO COMERCIO, 1975, SAO JOSE",PE,Recife,2025-11-06 01:45:34
482,"rua w3 sul, 2959, asa sul",DF,Brasília,2025-11-22 07:54:34
483,"PRAÇA AFONSO PENA, 4476, perto da praça, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-02 05:00:34
484,"R. copacabana, 4812",RJ,Rio de Janeiro,2025-11-18 14:47:34
485,"viela oswaldo cruz, 4151, botafogo",RJ,Rio de Janeiro,2025-11-05 22:17:34
486,"VIELA afonso pena, 3296",MG,Belo Horizonte,2025-11-18 18:30:34
487,"entregar na travessa rio branco, 1273 próximo ao mercado, centro",RJ,Rio de Janeiro,2025-11-14 02:09:34
488,"ALAMEDA COPACABANA, 3584, perto da praça, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-25 13:44:34
489,"entregar na avenida amazonas, 3715 ao lado da escola, centro",MG,Belo Horizonte,2025-11-25 11:07:34
490,"AVENIDA QUINZE DE NOVEMBRO, 104, perto da praça, CENTRO, São Paulo",SP,São Paulo,2025-11-04 20:39:34
491,"entregar na praça borges de medeiros, 4285 perto do metrô, centro",RS,Porto Alegre,2025-11-18 15:26:34
492,"ALAMEDA URUGUAIANA, 968, , CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-16 07:32:34
493,"AVENIDA W3 SUL, 2155, ao lado da escola, ASA SUL, Brasília",DF,Brasília,2025-11-06 18:18:34
494,"PRAÇA TUPIS, 455, CENTRO",MG,Belo Horizonte,2025-10-30 02:39:34
495,"ESTRADA CONDE DA BOA VISTA, 2090, apto 101, DERBY, Recife",PE,Recife,2025-10-29 02:06:34
496,"Tv. primeiro de março, 4169",RJ,Rio de Janeiro,2025-10-30 20:34:34
497,"LARGO ATLANTICA, 2982, COPACABANA",RJ,Rio de Janeiro,2025-10-28 16:38:34
498,"viela atlantica, 1840, copacabana",RJ,Rio de Janeiro,2025-11-19 06:51:34
499,"entregar na alameda boa viagem, 639 próximo ao mercado, boa viagem",PE,Recife,2025-11-23 04:06:34
500,"ESTRADA OSWALDO CRUZ, 1829, bloco A, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-25 08:45:34
501,"alameda tupis, 2546, centro",MG,Belo Horizonte,2025-11-24 03:20:34
502,"praça do ouvidor, 1644, centro",RJ,Rio de Janeiro,2025-11-08 11:02:34
503,"entregar na largo ipiranga, 3017 em frente ao banco, republica",SP,São Paulo,2025-11-02 14:03:34
504,"travessa w3 norte, 1234",DF,Brasília,2025-11-26 13:15:34
505,"rua da aurora, 2745",PE,Recife,2025-10-29 21:03:34
506,"entregar na avenida marques de itu, 1681 perto da praça, vila buarque",SP,São Paulo,2025-11-13 05:46:34
507,"Al setembro, 763",RJ,Rio de Janeiro,2025-10-29 04:23:34
508,"entregar na largo conde da boa vista, 696 , derby",PE,Recife,2025-11-10 16:09:34
509,"entregar na avenida agamenon magalhaes, 4849 , derby",PE,Recife,2025-11-12 23:41:34
510,"ALAMEDA IPIRANGA, 2139, sala 20, REPUBLICA, São Paulo",SP,São Paulo,2025-10-28 08:05:34
